Clusters,Inertia
100,1016440.0392801838
150,995848.7236796865
200,916913.7242778224
250,832223.8077018037
300,749903.038502934
350,576846.439875412
400,628858.3491588666
450,617525.7591340797
500,639301.7090039288
550,485876.94072681427
600,372932.6437229446
