Clusters,Inertia
100,998665.0555555173
150,833889.23609478
200,724033.2708070846
250,625563.2093959284
300,545532.9841498786
350,478703.86356584774
400,415838.95309880015
450,361862.3025830464
500,315248.7887754992
550,271710.7795454407
600,231943.07179488227
